mean,min,max,runs,last_commit_id,version
4.2,4.0,5.2,715,53021d1dae3e1ff2a1869656e12b2e05a405a30a,v0.2.0
4.1,4.0,4.5,720,bc59e9b40804c0215ab7b1cea0cd9976eb427763,v0.2.1
4.2,4.1,5.4,692,f70b00e118ff46ef2bf2d65d3111bca4b04fdc41,v0.2.2
4.2,3.8,9.7,727,b95c213a20cb517da11709dd6135b14a3320c31c,v0.3.0
4.3,4.1,14.7,685,83922fb0f8b61974e062522e79a1b00c96568339,v0.4.0
4.2,4.0,5.1,721,de400c3aa29c02028442e4c17f257021f1f95a1f,v1.0.0
4.2,4.0,6.1,738,1f23d198461a703a3b13b7aeaa6bfc90020ed840,v1.0.1
4.1,3.9,4.8,748,88ed83661e9ee0315390e52b2130cebf2d8410b4,v1.1.0
